Date,Session (Menti),MnDOT District,MnDOT District (Clean),Event,Source,Zip Code (Clean),Zip Code,Gender Identity,Gender Identity (Clean),Age,Age Range,Race/ Ethnicity,Race/Ethnicity (Clean),What are the top five improvements you feel are most important?:,What are the top five improvements you feel are most important?: 1,What are the top five improvements you feel are most important?: 1_Cleaned,What are the top five improvements you feel are most important?: 2,What are the top five improvements you feel are most important?: 2_Cleaned,What are the top five improvements you feel are most important?: 3,What are the top five improvements you feel are most important?: 3_Cleaned,What are the top five improvements you feel are most important?: 4,What are the top five improvements you feel are most important?: 4_Cleaned,What are the top five improvements you feel are most important?: 5,What are the top five improvements you feel are most important?: 5_Cleaned,Which approach best aligns with your vision for the state highway system?:,Which approach best aligns with your vision for the state highway system?:,Which approach best aligns with your vision for the state highway system?_Cleaned,What else would you like us to know?: (ENGLISH),What else would you like us to know?: (SPANISH/HMONG),Topic Category
2022-08-09,Equity Workgroup,N/A,No Response,,Mentimeter,,,,No Response,,No Response,,No Response,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,Heart,,#N/A,,,
2022-08-09,Equity Workgroup,N/A,No Response,,Mentimeter,,,,No Response,,No Response,,No Response,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-08-09,Equity Workgroup,N/A,No Response,,Mentimeter,,,,No Response,,No Response,,No Response,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-08-09,Equity Workgroup,N/A,No Response,,Mentimeter,,,,No Response,,No Response,,No Response,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-08-09,Equity Workgroup,N/A,No Response,,Mentimeter,,,,No Response,,No Response,,No Response,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-08-09,Equity Workgroup,N/A,No Response,,Mentimeter,,,,No Response,,No Response,,No Response,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-08-09,Equity Workgroup,N/A,No Response,,Mentimeter,,,,No Response,,No Response,,No Response,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-08-09,Equity Workgroup,N/A,No Response,,Mentimeter,,,,No Response,,No Response,,No Response,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-08-10,Forks MPO TAC,District 2,District 2,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Add new safety improvements,Add new safety improvements,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-08-10,Forks MPO TAC,District 2,District 2,,Mentimeter,,,,No Response,,No Response,,No Response,,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Add new safety improvements,Add new safety improvements,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-08-10,Forks MPO TAC,District 2,District 2,,Mentimeter,58201,58201,Female,Female,48,45-54,White,White,,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,,Prioritize Bridges,Prioritize Bridges,,,
2022-08-10,Forks MPO TAC,District 2,District 2,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,,Prioritize Bridges,Prioritize Bridges,"CAV, FC Bridges, Regional Connectivity.",,
2022-08-10,Forks MPO TAC,District 2,District 2,,Mentimeter,56721,56721,,No Response,,No Response,,No Response,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,What do these approaches look like in northern MN? Basically how do these approaches impact my life when they look more focused on the Twin Cities /St. Cloud areas.,,
2022-08-10,Forks MPO TAC,District 2,District 2,,Mentimeter,58201,58201,Male,Male,37,35-44,White,White,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Add new safety improvements,Add new safety improvements,Heart,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,Focusing on current pavements are key my second focus would be on safety and reducing the number of fatal and severe injury crashes,,
2022-08-10,Forks MPO TAC,District 2,District 2,,Mentimeter,56721,56721,,No Response,,No Response,,No Response,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-08-10,Forks MPO TAC,District 2,District 2,,Mentimeter,58504,58504,Male,Male,41,35-44,White,White,,Add new safety improvements,Add new safety improvements,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,,,#N/A,,,
2022-08-10,Forks MPO TAC,District 2,District 2,,Mentimeter,,,,No Response,,No Response,,No Response,,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Add new safety improvements,Add new safety improvements,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,,Prioritize Bridges,Prioritize Bridges,,,
2022-08-10,Forks MPO TAC,District 2,District 2,,Mentimeter,58201,58201,Male,Male,50,45-54,White,White,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,,
2022-08-10,Forks MPO TAC,District 2,District 2,,Mentimeter,,,,No Response,,No Response,,No Response,,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,,#N/A,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-08-10,Forks MPO TAC,District 2,District 2,,Mentimeter,56721,56721,Female,Female,50,45-54,White,White,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-08-11,Unknown,N/A,No Response,,Mentimeter,,,,No Response,,No Response,,No Response,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,I appreciate the budget tool as it is a great visual to show that funds only stretch so far and there are always tradeoffs.,,
2022-08-11,Unknown,N/A,No Response,,Mentimeter,,,,No Response,,No Response,,No Response,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,Is there any TSMO application planning on the MNSHIP?,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,,,,No Response,,No Response,,No Response,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Add new safety improvements,Add new safety improvements,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,,,Male,Male,42,35-44,White,White,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Adapt to Changing Technology and Climate,Adapt to Changing Technology and Climate Change,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,,#N/A,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain rest areas for the safety and health of travelers and truck drivers,Maintain rest areas for the safety and health of travelers and truck drivers,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,58103,58103,Male,Male,37,35-44,,No Response,,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,58102,58102,Male,Male,23,18-24,White,White,,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Maintain rest areas for the safety and health of travelers and truck drivers,Maintain rest areas for the safety and health of travelers and truck drivers,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,,,,No Response,,No Response,,No Response,,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Add new safety improvements,Add new safety improvements,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,,#N/A,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,,,,No Response,,No Response,,No Response,,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,,Adapt to Changing Technology and Climate,Adapt to Changing Technology and Climate Change,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,58504,58504,Male,Male,41,35-44,White,White,,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Add new safety improvements,Add new safety improvements,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,,,,No Response,,No Response,,No Response,,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,,#N/A,,#N/A,,#N/A,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,58103,58103,Male,Male,40,35-44,White,White,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,,,,No Response,,No Response,,No Response,,Maintain rest areas for the safety and health of travelers and truck drivers,Maintain rest areas for the safety and health of travelers and truck drivers,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Add new safety improvements,Add new safety improvements,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,,,,No Response,,No Response,,No Response,,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Adapt to Changing Technology and Climate,Adapt to Changing Technology and Climate Change,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,58047,58047,Male,Male,29,25-34,White,White,,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,58102,58102,Male,Male,34,25-34,,No Response,,Add new safety improvements,Add new safety improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,,Adapt to Changing Technology and Climate,Adapt to Changing Technology and Climate Change,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,56560,56560,Male,Male,35,35-44,White,White,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Adapt to Changing Technology and Climate,Adapt to Changing Technology and Climate Change,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,56560,56560,Male,Male,20,18-24,White,White,,Maintain rest areas for the safety and health of travelers and truck drivers,Maintain rest areas for the safety and health of travelers and truck drivers,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,,Prioritize Bridges,Prioritize Bridges,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,58102,58102,,No Response,,No Response,,No Response,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,,Prioritize Bridges,Prioritize Bridges,,,
2022-08-11,Metro COG TTC,District 4,District 4,,Mentimeter,,,,No Response,,No Response,,No Response,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-08-16,MADO,Statewide,Statewide,,Mentimeter,55920,55920,Female,Female,44,35-44,White,White,,Add new safety improvements,Add new safety improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,,,#N/A,,,
2022-08-16,MADO,Statewide,Statewide,,Mentimeter,56537,56537,Female,Female,24,25-34,White,White,,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-08-16,MADO,Statewide,Statewide,,Mentimeter,56537,56537,Female,Female,24,25-34,White,White,Heart,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,,Adapt to Changing Technology and Climate,Adapt to Changing Technology and Climate Change,,,
2022-08-16,MADO,Statewide,Statewide,,Mentimeter,56601,56601,Male,Male,40,35-44,White,White,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-08-16,MADO,Statewide,Statewide,,Mentimeter,56175,56175,Female,Female,32,25-34,White,White,Heart,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,,Adapt to Changing Technology and Climate,Adapt to Changing Technology and Climate Change,,,
2022-08-16,MADO,Statewide,Statewide,,Mentimeter,56401,56401,Male,Male,37,35-44,White,White,,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Add new safety improvements,Add new safety improvements,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,,,#N/A,,,
2022-08-16,MADO,Statewide,Statewide,,Mentimeter,56537,56537,Male,Male,49,45-54,White,White,,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Adapt to Changing Technology and Climate,Adapt to Changing Technology and Climate Change,,,
2022-08-16,MADO,Statewide,Statewide,,Mentimeter,56251,56251,Male,Male,27,25-34,White,White,,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Add new safety improvements,Add new safety improvements,,,#N/A,,,
